source_table_index,PREFIX,VARIABLE_NAME,DESCRIPTION,LOCATION_CODE,SCOPE
1,F9_00_,PRIN_OFF_NAME_ORG_L1,Name Business - BusinessNameLine1,F990-PC-PART-00-SECTION-F,HD
1,F9_00_,PRIN_OFF_NAME_ORG_L2,"Name of Principal Officer (Business, Line 2)",F990-PC-PART-00-SECTION-F,HD
1,F9_00_,PRIN_OFF_NAME_PERS,Name Of Principal Officer - Name - Person,F990-PC-PART-00-SECTION-F,HD
1,F9_00_,GRO_RCPT,Gross receipts,F990-PC-PART-00-SECTION-G; F990-EZ-PART-00-SECTION-L,HD
1,F9_00_,RETURN_GROUP_X,Group return for affiliates?,F990-PC-PART-00-SECTION-HA,HD
1,F9_00_,ALL_AFFIL_INCL_X,Indicates this form includes all subordinate organizations,F990-PC-PART-00-SECTION-HB,HD
1,F9_00_,GROUP_EXEMPT_NUM,Group exemption number,F990-PC-PART-00-SECTION-HC; F990-EZ-PART-00-SECTION-F,HD
1,F9_00_,EXEMPT_STAT_4947A1_X,Indicates a 4947(a)(1) organization,F990-PC-PART-00-SECTION-I; F990-EZ-PART-00-SECTION-J,HD
1,F9_00_,EXEMPT_STAT_501C_X,Indicates a 501(c) organization,F990-PC-PART-00-SECTION-I; F990-EZ-PART-00-SECTION-J,HD
1,F9_00_,EXEMPT_STAT_501C3_X,Indicates a 501(c)(3) organization,F990-PC-PART-00-SECTION-I; F990-EZ-PART-00-SECTION-J,HD
1,F9_00_,EXEMPT_STAT_527_X,Indicates a 527 organization,F990-PC-PART-00-SECTION-I,HD
1,F9_00_,ORG_WEBSITE,Form990 Part I - Web site,F990-PC-PART-00-SECTION-J; F990-EZ-PART-00-SECTION-I,HD
1,F9_00_,TYPE_ORG_ASSOC_X,Type of organization - association,F990-PC-PART-00-SECTION-K; F990-EZ-PART-00-SECTION-K,HD
1,F9_00_,TYPE_ORG_CORP_X,Type of organization - corporation,F990-PC-PART-00-SECTION-K; F990-EZ-PART-00-SECTION-K,HD
1,F9_00_,TYPE_ORG_OTH_DESC,Type of organization - other description,F990-PC-PART-00-SECTION-K; F990-EZ-PART-00-SECTION-K,HD
1,F9_00_,TYPE_ORG_OTH_X,Type of organization - other,F990-PC-PART-00-SECTION-K; F990-EZ-PART-00-SECTION-K,HD
1,F9_00_,TYPE_ORG_TRUST_X,Type of organization - trust,F990-PC-PART-00-SECTION-K; F990-EZ-PART-00-SECTION-K,HD
1,F9_00_,YEAR_FORMATION,Year of formation,F990-PC-PART-00-SECTION-L,HD
1,F9_00_,LEGAL_DMCL_CNTR,Countryof legam domicile,F990-PC-PART-00-SECTION-M,HD
1,F9_00_,LEGAL_DMCL_STATE,State of legal domicile,F990-PC-PART-00-SECTION-M,HD
1,F9_00_,GRO_RCPT_LT50K_X,Gross receipts are less than the filing threshold ($25K or $50K depending on the year of the form),F990-EZ-PART-00-SECTION-K,HD
2,F9_01_,ACT_GVRN_ACT_MISSION,Organization mission or most signif activities,F990-PC-PART-01-LINE-01,PC
2,F9_01_,ACT_GVRN_TERMIN_KONTR_X,Termination or contraction,F990-PC-PART-01-LINE-02,PC
2,F9_01_,ACT_GVRN_NUM_VOTE_MEMB,Number voting members governing body,F990-PC-PART-01-LINE-03,PC
2,F9_01_,ACT_GVRN_NUM_VOTE_MEMB_IND,Number independent voting members,F990-PC-PART-01-LINE-04,PC
2,F9_01_,ACT_GVRN_EMPL_TOT,total Number employees,F990-PC-PART-01-LINE-05,PC
2,F9_01_,ACT_GVRN_VOL_TOT,Total number volunteers,F990-PC-PART-01-LINE-06,PC
2,F9_01_,ACT_GVRN_UBIZ_REV_TOT,Total gross UBI,F990-PC-PART-01-LINE-07A,PC
2,F9_01_,ACT_GVRN_UBIZ_TAXABLE_NET,Net unrelated business taxable income,F990-PC-PART-01-LINE-07B,PC
2,F9_01_,REV_CONTR_TOT_CY,Contributions and grants - current year,F990-PC-PART-01-LINE-08-CY; F990-EZ-PART-01-LINE-01,PZ
2,F9_01_,REV_CONTR_TOT_PY,Contributions and grants - prior year,F990-PC-PART-01-LINE-08-PY,PC
