column_order,column_name,source_file,source_url,note
18,PMSA,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
19,MSA_NECH,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
20,CASSETS,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
21,CFINSRC,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
22,CTAXPER,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
23,CTOTREV,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
24,ACCPER,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
25,RANDNUM,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
26,NTEECC,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
27,NTEE1,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
28,LEVEL4,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
29,LEVEL1,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
30,NTMAJ10,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
31,MAJGRPB,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
32,LEVEL3,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
33,LEVEL2,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
34,NTMAJ12,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
35,NTMAJ5,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
36,FILER,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
37,ZFILER,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
38,OUTREAS,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
39,OUTNCCS,data/321_Black_Hills_Area_Community_Foundation_2025_08/01_data/raw/nccs_bmf/raw/year=2022/BMF-2022-08-501CX-NONPROFIT-PX.csv,https://nccsdata.s3.us-east-1.amazonaws.com/legacy/bmf/BMF-2022-08-501CX-NONPROFIT-PX.csv,Inferred from the raw CSV header because the NCCS catalog profile link points to dd_unavailable.html.
