output_column,source_family,rows_total,rows_nonnull,fill_rate,distinct_nonnull_count,column_group,example_source_column
harm_subsection_code,nccs_postcard,3461,3091,0.8930944813637677,11,harmonized,SUBSECTION
harm_revenue_amount,givingtuesday_datamart,4381,4368,0.9970326409495549,4221,harmonized,TOTREVCURYEA
harm_revenue_amount,nccs_bmf,29793,25844,0.867452086060484,7039,harmonized,CTOTREV
harm_revenue_amount,nccs_efile,3866,3853,0.9966373512674599,3777,harmonized,F9_01_REV_TOT_CY
harm_revenue_amount,nccs_postcard,3461,0,0.0,0,harmonized,
harm_expenses_amount,givingtuesday_datamart,4381,4343,0.9913261812371604,4231,harmonized,TOTEXPCURYEA
harm_expenses_amount,nccs_bmf,29793,0,0.0,0,harmonized,
harm_expenses_amount,nccs_efile,3866,3828,0.9901707190894982,3776,harmonized,F9_01_EXP_TOT_CY
harm_expenses_amount,nccs_postcard,3461,0,0.0,0,harmonized,
harm_assets_amount,givingtuesday_datamart,4381,4381,1.0,4161,harmonized,TOASEOOYY
harm_assets_amount,nccs_bmf,29793,28698,0.9632464001611116,7953,harmonized,ASSETS
harm_assets_amount,nccs_efile,3866,2437,0.6303673047077082,2408,harmonized,F9_01_NAFB_ASSET_TOT_EOY
harm_assets_amount,nccs_postcard,3461,0,0.0,0,harmonized,
harm_income_amount,givingtuesday_datamart,4381,4337,0.9899566309061858,4205,harmonized,derived:TOTREVCURYEA-minus-TOTEXPCURYEA
harm_income_amount,nccs_bmf,29793,28698,0.9632464001611116,7880,harmonized,INCOME
harm_income_amount,nccs_efile,3866,3843,0.9940506983962752,3770,harmonized,F9_01_EXP_REV_LESS_EXP_CY
harm_income_amount,nccs_postcard,3461,0,0.0,0,harmonized,
harm_gross_receipts_under_25000_flag,givingtuesday_datamart,4381,0,0.0,0,harmonized,
harm_gross_receipts_under_25000_flag,nccs_bmf,29793,0,0.0,0,harmonized,
harm_gross_receipts_under_25000_flag,nccs_efile,3866,0,0.0,0,harmonized,
harm_gross_receipts_under_25000_flag,nccs_postcard,3461,3461,1.0,1,harmonized,gross_receipts_under_25000
harm_is_hospital,givingtuesday_datamart,4381,2439,0.5567222095412007,2,harmonized,OPERATHOSPIT
harm_is_hospital,nccs_bmf,29793,0,0.0,0,harmonized,
harm_is_hospital,nccs_efile,3866,35,0.009053285049146405,1,harmonized,SA_01_PCSTAT_HOSPITAL_X
harm_is_hospital,nccs_postcard,3461,0,0.0,0,harmonized,
harm_is_university,givingtuesday_datamart,4381,1097,0.2503994521798676,2,harmonized,OPERATSCHOOL
harm_is_university,nccs_bmf,29793,0,0.0,0,harmonized,
harm_is_university,nccs_efile,3866,114,0.029487842731505433,1,harmonized,SA_01_PCSTAT_SCHOOL_X
harm_is_university,nccs_postcard,3461,0,0.0,0,harmonized,
harm_ein__source_family,givingtuesday_datamart,4381,4381,1.0,1,field_provenance,
harm_ein__source_family,nccs_bmf,29793,29793,1.0,1,field_provenance,
harm_ein__source_family,nccs_efile,3866,3866,1.0,1,field_provenance,
harm_ein__source_family,nccs_postcard,3461,3461,1.0,1,field_provenance,
