tax_year,asset_type,source_page_url,source_url,filename,source_content_length_bytes,source_last_modified,local_path,local_bytes,s3_bucket,s3_key,s3_bytes,size_match
2022,county_csv_agi,https://www.irs.gov/statistics/soi-tax-stats-county-data-2022,https://www.irs.gov/pub/irs-soi/22incyallagi.csv,22incyallagi.csv,35567992,"Fri, 14 Feb 2025 19:10:13 GMT",C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\raw\irs_soi\county\raw\tax_year=2022\22incyallagi.csv,35567992,swb-321-irs990-teos,bronze/irs_soi/county/raw/tax_year=2022/22incyallagi.csv,,
2022,county_csv_noagi,https://www.irs.gov/statistics/soi-tax-stats-county-data-2022,https://www.irs.gov/pub/irs-soi/22incyallnoagi.csv,22incyallnoagi.csv,5075247,"Fri, 14 Feb 2025 19:10:14 GMT",C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\raw\irs_soi\county\raw\tax_year=2022\22incyallnoagi.csv,5075247,swb-321-irs990-teos,bronze/irs_soi/county/raw/tax_year=2022/22incyallnoagi.csv,,
2022,users_guide_docx,https://www.irs.gov/statistics/soi-tax-stats-county-data-2022,https://www.irs.gov/pub/irs-soi/22incydocguide.docx,22incydocguide.docx,47920,"Fri, 14 Feb 2025 19:10:22 GMT",C:\Users\eilke\Desktop\Github Repo\swb_project_321\data\321_Black_Hills_Area_Community_Foundation_2025_08\01_data\raw\irs_soi\county\raw\tax_year=2022\22incydocguide.docx,47920,swb-321-irs990-teos,bronze/irs_soi/county/raw/tax_year=2022/22incydocguide.docx,,
